"id","name","latitude","longitude","population"
"3a8713a3-814c-430c-8886-60069b725270","Ньив-Амстердам","5.909987","-55.070008","4935"
"bc6d5124-3c4f-4e61-955d-00ce218eea4b","Уотервилл","44.551892","-69.645785","25152"
"76b540b5-bde0-4a96-bf08-c496ebaca625","Калис","45.165989","-67.242392","3306"
"8578477b-5eae-44fe-a504-080732983170","Хоултон","46.125517","-67.83972","6703"
"270f1fc7-9a42-4422-a789-b7ad2c7d7c41","Бентон-Харбор","42.11664","-86.454191","58382"
"05a55788-63b9-4c3b-8d16-5b06576973cf","Батл-Крик","42.321098","-85.179747","70820"
"224719bb-9bea-49ca-87fc-0b3fe967cd51","Бей-Сити","43.594457","-83.888895","68549"
"f9bbe221-56e2-41d0-8226-1aeb7a0b1a5a","Алпина","45.061602","-83.432696","18330"
"7dc94a17-170b-4f0b-b8bc-743b68cf470a","Айрон-Маунтин","45.82246","-88.064093","16183"
"0c19179e-9026-4706-9256-a23467ba8108","Айронвуд","46.455807","-90.159391","7064"
"daa8a7dc-ca19-4d07-af3f-cd0b7ee1330e","Марбелья","36.51662","-4.88333","186131"
"b856f722-40a8-431f-bd48-a29bfa396ef4","Линарес","38.08332","-3.633355","59761"
"247456f1-6be0-4825-beb4-9552f66cd8cf","Альхесирас","36.126712","-5.46653","111027"
"fc9193ab-ca2b-40a4-bab4-a108941d9388","Леон","42.579971","-5.570007","136227"
"5c76c56b-c445-4bc8-adc7-96f2cf99e3dd","Матаро","41.539957","2.450021","183293"
"a86ec9f3-b0e8-4852-a422-c931f0125caf","Латакия","35.539987","35.779976","539147"
"a3e88caf-55de-4e1d-af0a-548af86d0e61","Эс-Саура","35.836661","38.548076","87880"
"21b85d77-94a0-4bad-bf52-3660755f0094","Аазаз","36.588786","37.044085","31534"
"920d9ccd-8eea-4ff2-b228-b73c2050f348","Манбидж","36.526645","37.956329","120169"
"d949e0da-839d-419e-ab20-aa1fa70868f5","Идлиб","35.929705","36.631655","128840"
"f53a6424-4861-41dd-8cb7-004707665d67","Эль-Камышлы","37.030025","41.229979","104107"
"ad575752-27f8-4da4-8682-a24983e73d36","Эль-Хасака","36.483289","40.750009","128100"
"72f6f2c8-4fae-4b41-ae55-ecfd09a14715","Дума","33.583336","36.39999","496145"
"9806e1f1-2fe8-4167-a2c7-763d56796a3e","Дамар","14.557469","44.387461","191259"
"9c0c585c-1d1e-4490-8fd5-6f3db7f93c27","Ибб","13.975851","44.170885","234837"
"082dfac8-cce8-4f5d-b2bf-b4fbd28aa394","Кур","46.85002","9.50003","38293"
"687c0006-63ca-4000-96f2-871707932928","Санд-Пойнт","55.339709","-160.497191","667"
"a79d2e57-6f45-47b1-826d-a79c8fd0fbd6","Хайдабург","55.21398","-132.800639","382"
"9a6ea220-432f-465e-b1f2-adfde0a26da6","Мекорьюк","60.388647","-166.189937","99"
"043f67d9-3e7d-4985-ac1a-6d70c1994247","Аткасук","70.46938","-157.395778","201"
"5bb8c50d-55a6-494c-ac98-b12a0502be06","Порт-Хейден","56.949094","-158.626892","102"
"e54fd84d-2749-44ad-9328-8ef9466d8690","Перривилл","55.918614","-159.151149","113"
"6698cb78-eb10-4fcc-89ed-b7d734482c23","Диллинхэм","59.05656","-158.480312","2488"
"1d904662-0979-41f9-a3ee-cfbe689cdf69","Гудньюс-Бей","59.120993","-161.58713","230"
"5b225b1f-9ef4-4aee-8f04-d16b2f1df1fd","Найек","61.004143","-159.940481","100"
"e927ff79-33d4-44db-8aae-1c9a4d56c7ba","Тунунак","60.585487","-165.255789","352"
"9c0001b8-e122-49eb-b61b-e62ce398389b","Маунтин-Виллидж","62.085524","-163.729009","755"
"70be4140-c778-4c90-b126-1ec7361b4bbb","Эммонак","62.776981","-164.522992","100"
"f9486e5a-30d8-4e1e-bdaa-8c4ebef9c9c8","Калтаг","64.327196","-158.721899","190"
"a3e65180-7b91-4962-9d75-576ac45d5a9b","Теллер","65.263599","-166.360786","83"
"a1670893-b5ca-41b7-931c-853c98e26e6b","Коюкук","64.880289","-157.70085","101"
"06fb1a19-a968-4f3e-b353-0e4d532ce166","Кобук","66.907246","-156.880977","151"
